Right Cerebrum.Occipital Lobe.Inferior Temporal Gyrus.White Matter.*,
Right Cerebrum.Temporal Lobe.Middle Temporal Gyrus.Gray Matter.Brodmann area 37,
Left Cerebrum.Occipital Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 37,298
Right Cerebrum.Occipital Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 37,
Right Cerebrum.Occipital Lobe.Parahippocampal Gyrus.Gray Matter.Brodmann area 37,
Left Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Brodmann area 37,
Right Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Brodmann area 37,
Right Cerebrum.Limbic Lobe.Fusiform Gyrus.Gray Matter.Brodmann area 37,
Right Cerebrum.Limbic Lobe.Sub-Gyral.*.*,
Left Cerebrum.Limbic Lobe.Sub-Gyral.*.*,
Left Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Hippocampus,178
Right Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Hippocampus,
Left Cerebrum.Limbic Lobe.Sub-Gyral.Gray Matter.Hippocampus,338
Right Cerebrum.Limbic Lobe.Sub-Gyral.Gray Matter.Hippocampus,345
Left Brainstem.Midbrain.*.Gray Matter.Substania Nigra,
Right Brainstem.Midbrain.*.Gray Matter.Substania Nigra,
Left Brainstem.Midbrain.*.Gray Matter.Red Nucleus,
Right Brainstem.Midbrain.*.Gray Matter.Red Nucleus,
Left Cerebrum.Limbic Lobe.Sub-Gyral.Gray Matter.Brodmann area 28,
Right Cerebrum.Limbic Lobe.*.White Matter.*,
Left Cerebrum.Sub-lobar.Extra-Nuclear.White Matter.*,
Right Cerebrum.Sub-lobar.Extra-Nuclear.White Matter.*,
Left Cerebrum.Temporal Lobe.*.Gray Matter.Caudate Tail,
Right Cerebrum.Temporal Lobe.Caudate.Gray Matter.Caudate Tail,
Left Cerebrum.Temporal Lobe.Caudate.Gray Matter.Caudate Tail,
Left Cerebrum.Temporal Lobe.Sub-Gyral.Gray Matter.Brodmann area 21,
Left Cerebrum.Temporal Lobe.Extra-Nuclear.White Matter.*,336
Left Brainstem.Midbrain.*.Gray Matter.Mammillary Body,
Right Brainstem.Midbrain.*.Gray Matter.Mammillary Body,
Left Cerebrum.Sub-lobar.*.Gray Matter.Amygdala,339
Right Cerebrum.*.*.White Matter.*,
Right Cerebrum.Sub-lobar.*.Gray Matter.Amygdala,346
Left Cerebrum.Sub-lobar.Extra-Nuclear.White Matter.Optic Tract,
Right Cerebrum.Sub-lobar.Third Ventricle.Cerebro-Spinal Fluid.*,
Right Cerebrum.Sub-lobar.Extra-Nuclear.White Matter.Optic Tract,346
Left Cerebrum.Sub-lobar.Third Ventricle.Cerebro-Spinal Fluid.*,
Left Cerebrum.Sub-lobar.*.Gray Matter.Hypothalamus,
Right Cerebrum.Sub-lobar.*.Gray Matter.Hypothalamus,
